,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
80,80,80,80,80,80,2017-07-12,66.08000183105469,66.62000274658203,64.9000015258789,65.90399932861328,51730500,0,0.0,0.45999908447265625,0.45999908447265625,0.0,71.1991003036499,81.200364453363,61.197836153936805,30.758502041216374,67.96451761928316,-8.344001770019531,6490.399932861328,67.96451761928316
81,81,81,81,81,81,2017-07-13,66.02200317382812,66.31999969482422,63.99399948120117,64.68199920654297,42972500,0,0.0,-1.2220001220703125,0.0,1.2220001220703125,70.62660007476806,80.74427941676998,60.50892073276614,25.68188648863284,67.52684849758447,-7.4680023193359375,6368.199920654297,67.52684849758447
82,82,82,82,82,82,2017-07-14,64.63800048828125,65.68399810791016,64.24400329589844,65.55599975585938,28126000,0,0.0,0.8740005493164062,0.8740005493164062,0.0,70.15100002288818,80.28326738941526,60.01873265636111,27.77644445283694,67.26406866535446,-6.765998840332031,6455.5999755859375,67.26406866535446
83,83,83,83,83,83,2017-07-17,65.10800170898438,65.41999816894531,62.68999862670898,63.91400146484375,49384500,0,0.0,-1.641998291015625,0.0,1.641998291015625,69.63270015716553,79.9280722725555,59.33732804177556,27.28627522786458,66.8173930386197,-6.6100006103515625,6291.400146484375,66.8173930386197
84,84,84,84,84,84,2017-07-18,63.5,65.82599639892578,63.13199996948242,65.64800262451172,31868500,0,0.0,1.7340011596679688,1.7340011596679688,0.0,69.21710033416748,79.45040162948193,58.983799038853036,35.90252652404331,66.66147431673863,0.23000335693359375,6464.800262451172,66.66147431673863
85,85,85,85,85,85,2017-07-19,65.64600372314453,66.33000183105469,64.64399719238281,65.052001953125,31785000,0,0.0,-0.5960006713867188,0.0,0.5960006713867188,68.74730052947999,78.83705612208183,58.65754493687814,30.036470841545622,66.44687800159015,3.2860031127929688,6405.2001953125,66.44687800159015
86,86,86,86,86,86,2017-07-20,65.37999725341797,66.04399871826172,64.83999633789062,65.98400115966797,25831000,0,0.0,0.9319992065429688,0.9319992065429688,0.0,68.28250064849854,77.96985155066295,58.59514974633413,35.90048220179901,66.38516108933386,3.3400001525878906,6498.400115966797,66.38516108933386
87,87,87,87,87,87,2017-07-21,65.89199829101562,66.25199890136719,65.16000366210938,65.68000030517578,24508000,0,0.0,-0.3040008544921875,0.0,0.3040008544921875,67.74040050506592,76.70138913429147,58.779411875840374,34.9031776541087,66.29113965144612,2.470001220703125,6468.000030517578,66.29113965144612
88,88,88,88,88,88,2017-07-24,66.0479965209961,68.68000030517578,66.00199890136719,68.50399780273438,43185500,0,0.0,2.8239974975585938,2.8239974975585938,0.0,67.33110027313232,75.30263247943277,59.35956806683187,45.61326422343149,66.58618740495122,3.05999755859375,6750.3997802734375,66.58618740495122
89,89,89,89,89,89,2017-07-25,69.0,69.12000274658203,66.83000183105469,67.91999816894531,34946000,0,0.0,-0.5839996337890625,0.0,0.5839996337890625,66.95220012664795,73.99132005146491,59.913080201830994,56.761428629158296,66.76402884015043,2.0159988403320312,6691.999816894531,66.76402884015043
90,90,90,90,90,90,2017-07-26,68.0719985961914,69.0999984741211,67.6240005493164,68.7699966430664,24104000,0,0.0,0.8499984741210938,0.8499984741210938,0.0,66.76700000762939,73.39374977641405,60.140250238844736,72.30572982219134,67.03149121387257,4.0879974365234375,6776.999664306641,67.03149121387257
91,91,91,91,91,91,2017-07-27,69.19999694824219,69.5,65.25800323486328,66.89199829101562,41512000,0,0.0,-1.8779983520507812,0.0,1.8779983520507812,66.39919986724854,72.0608542153207,60.73754551917638,62.718559971748384,67.01289215749165,1.33599853515625,6589.1998291015625,67.01289215749165
92,92,92,92,92,92,2017-07-28,67.37799835205078,67.91999816894531,66.50199890136719,67.01399993896484,24402000,0,0.0,0.12200164794921875,0.12200164794921875,0.0,66.14239978790283,71.16010114198009,61.124698433825564,61.700300276058734,67.01303986168807,3.0999984741210938,6601.399993896484,67.01303986168807
